target   ,Delta_LogP                  ,related_logprob     ,unrelated_logprob
word_246 ,0.47752909439999996         ,-0.0146916134       ,-0.4922207078
word_248 ,                            ,                    ,
word_250 ,2.4951118                   ,-1.1376399          ,-3.6327517
word_252 ,0.7351816002                ,-0.0002751598       ,-0.73545676
word_254 ,                            ,-6.067593           ,
word_256 ,                            ,-8.754881           ,
word_258 ,2.5374183                   ,-2.036532           ,-4.5739503
word_260 ,3.3734638e-05               ,-4.00813e-06        ,-3.7742768e-05
word_262 ,-3.6351923                  ,-4.463183           ,-0.8279907
word_264 ,1.5817573999999999          ,-3.366244           ,-4.9480014
word_266 ,0.11717939999999993         ,-2.4003553          ,-2.5175347
word_268 ,                            ,                    ,
word_270 ,1.0593839999999997          ,-13.642398          ,-14.701782
word_272 ,                            ,                    ,
word_274 ,-1.5496475999999997e-05     ,-2.9517714e-05      ,-1.4021238e-05
word_276 ,                            ,                    ,
word_278 ,                            ,                    ,
word_280 ,                            ,-6.7939425          ,
word_282 ,0.20321200000000061         ,-14.800059          ,-15.003271
word_284 ,                            ,                    ,
word_286 ,0.0039376588                ,-0.0009662496       ,-0.0049039084
word_288 ,-2.541981999999999          ,-8.02409            ,-5.482108
word_290 ,9.624587                    ,-6.021977           ,-15.646564
word_292 ,                            ,                    ,
word_294 ,-0.5484613999999999         ,-5.799128           ,-5.2506666
word_296 ,1.1413231000000001          ,-3.2084494          ,-4.3497725
word_298 ,                            ,                    ,
word_300 ,-0.23878860000000035        ,-4.6559863          ,-4.4171977
word_302 ,0.0013208430159999999       ,-2.2007884e-05      ,-0.0013428509
word_304 ,9.967791335                 ,-0.042623665        ,-10.010415
word_306 ,                            ,                    ,
word_308 ,-1.5580073                  ,-3.2980022          ,-1.7399949
word_310 ,                            ,-6.53822            ,
word_312 ,-0.8659180000000006         ,-24.627534          ,-23.761616
word_314 ,                            ,                    ,
word_316 ,                            ,                    ,
word_318 ,0.16045216999999995         ,-0.35328513         ,-0.5137373
word_320 ,                            ,                    ,
word_322 ,                            ,                    ,-19.172094658
word_324 ,                            ,                    ,
word_326 ,                            ,                    ,
word_328 ,                            ,                    ,
word_330 ,                            ,-5.676909510000001  ,
word_332 ,                            ,-12.3411584         ,
word_334 ,                            ,                    ,
word_336 ,                            ,                    ,
word_338 ,                            ,                    ,
word_340 ,1.2357397099999998          ,-0.24564329         ,-1.481383
word_342 ,                            ,-3.7017748          ,
word_344 ,-0.4666977000000001         ,-4.2812557          ,-3.814558
word_346 ,                            ,-6.814206           ,
word_348 ,5.343888700000001           ,-3.6832523          ,-9.027141
word_350 ,                            ,-5.6991674          ,
word_352 ,-0.47947439999999997        ,-7.1399484          ,-6.660474
word_354 ,                            ,                    ,
word_356 ,                            ,                    ,
word_358 ,1.4283362                   ,-3.6065798          ,-5.034916
word_360 ,7.55931816                  ,-3.01745244         ,-10.5767706
word_362 ,                            ,                    ,
