target,logprob,condition
word_254,-6.067593,related
word_254,,unrelated
word_256,-8.754881,related
word_256,,unrelated
word_258,-2.036532,related
word_258,-4.5739503,unrelated
word_260,-4.00813e-06,related
word_260,-3.7742768e-05,unrelated
word_262,-4.463183,related
word_262,-0.8279907,unrelated
word_264,-3.366244,related
word_264,-4.9480014,unrelated
word_266,-2.4003553,related
word_266,-2.5175347,unrelated
word_268,,related
word_268,,unrelated
word_270,-13.642398,related
word_270,-14.701782,unrelated
word_272,,related
word_272,,unrelated
word_274,-2.9517714e-05,related
word_274,-1.4021238e-05,unrelated
word_276,,related
word_276,,unrelated
word_278,,related
word_278,,unrelated
word_280,-6.7939425,related
word_280,,unrelated
word_282,-14.800059,related
word_282,-15.003271,unrelated
word_284,,related
word_284,,unrelated
word_286,-0.0009662496,related
word_286,-0.0049039084,unrelated
word_288,-8.02409,related
word_288,-5.482108,unrelated
word_290,-6.021977,related
word_290,-15.646564,unrelated
word_292,,related
word_292,,unrelated
word_294,-5.799128,related
word_294,-5.2506666,unrelated
word_296,-3.2084494,related
word_296,-4.3497725,unrelated
word_298,,related
word_298,,unrelated
word_300,-4.6559863,related
word_300,-4.4171977,unrelated
word_302,-2.2007884e-05,related
word_302,-0.0013428509,unrelated
word_304,-0.042623665,related
word_304,-10.010415,unrelated
word_306,,related
word_306,,unrelated
word_308,-3.2980022,related
word_308,-1.7399949,unrelated
word_310,-6.53822,related
word_310,,unrelated
word_312,-24.627534,related
word_312,-23.761616,unrelated
word_314,,related
word_314,,unrelated
word_316,,related
word_316,,unrelated
word_318,-0.35328513,related
word_318,-0.5137373,unrelated
word_320,,related
word_320,,unrelated
word_322,,related
word_322,-19.172094658,unrelated
word_324,,related
word_324,,unrelated
word_326,,related
word_326,,unrelated
word_328,,related
word_328,,unrelated
word_330,-5.676909510000001,related
word_330,,unrelated
word_332,-12.3411584,related
word_332,,unrelated
word_334,,related
word_334,,unrelated
word_336,,related
word_336,,unrelated
word_338,,related
word_338,,unrelated
word_340,-0.24564329,related
word_340,-1.481383,unrelated
word_342,-3.7017748,related
word_342,,unrelated
word_344,-4.2812557,related
word_344,-3.814558,unrelated
word_346,-6.814206,related
word_346,,unrelated
word_348,-3.6832523,related
word_348,-9.027141,unrelated
word_350,-5.6991674,related
word_350,,unrelated
word_352,-7.1399484,related
word_352,-6.660474,unrelated
word_354,,related
word_354,,unrelated
word_356,,related
word_356,,unrelated
word_358,-3.6065798,related
word_358,-5.034916,unrelated
word_360,-3.01745244,related
word_360,-10.5767706,unrelated
word_362,,related
word_362,,unrelated
word_364,,related
