target   ,Delta_LogP                  ,related_logprob         ,unrelated_logprob
word_240 ,                            ,                        ,
word_242 ,                            ,                        ,
word_244 ,                            ,-1.121394104853         ,
word_246 ,0.32703791845               ,-0.00794050425          ,-0.3349784227
word_248 ,                            ,                        ,
word_250 ,0.9455981000000002          ,-1.1376399              ,-2.083238
word_252 ,0.299707093                 ,-0.000451407            ,-0.3001585
word_254 ,                            ,-6.5272226              ,
word_256 ,                            ,-7.396402               ,
word_258 ,2.4080306                   ,-2.0291884              ,-4.437219
word_260 ,3.14697677e-05              ,-4.9617593e-06          ,-3.6431527e-05
word_262 ,-3.5369797                  ,-4.5130706              ,-0.9760909
word_264 ,0.8916187999999998          ,-4.0428705              ,-4.9344893
word_266 ,0.3974713999999997          ,-2.115772               ,-2.5132434
word_268 ,                            ,                        ,
word_270 ,1.794015                    ,-13.394953              ,-15.188968
word_272 ,                            ,                        ,
word_274 ,-1.8238160999999998e-05     ,-2.9279307e-05          ,-1.1041146e-05
word_276 ,                            ,                        ,
word_278 ,                            ,                        ,
word_280 ,                            ,-6.0510664              ,
word_282 ,-1.6985320000000002         ,-14.830845              ,-13.132313
word_284 ,                            ,                        ,
word_286 ,0.0032238586                ,-0.0009324214           ,-0.00415628
word_288 ,-2.363747600000001          ,-8.0081                 ,-5.6443524
word_290 ,1.8638050000000002          ,-6.021977               ,-7.885782
word_292 ,                            ,                        ,
word_294 ,-0.6552790000000002         ,-5.656141               ,-5.000862
word_296 ,1.1413231000000001          ,-3.2084494              ,-4.3497725
word_298 ,                            ,                        ,
word_300 ,0.5228297                   ,-4.6559863              ,-5.178816
word_302 ,0.001919718757              ,-2.0696643e-05          ,-0.0019404154
word_304 ,9.714924179999999           ,-0.04569382             ,-9.760618
word_306 ,                            ,                        ,
word_308 ,-1.4539224                  ,-3.1939173              ,-1.7399949
word_310 ,                            ,-6.53822                ,
word_312 ,-0.2442100000000007         ,-13.126582              ,-12.882372
word_314 ,                            ,                        ,
word_316 ,                            ,                        ,
word_318 ,0.26644566000000003         ,-0.2184881              ,-0.48493376
word_320 ,                            ,                        ,
word_322 ,5.641675329                 ,-13.506872              ,-19.148547329
word_324 ,                            ,                        ,
word_326 ,                            ,                        ,
word_328 ,                            ,                        ,
word_330 ,                            ,-5.6800847              ,
word_332 ,0.67896                     ,-8.919069               ,-9.598029
word_334 ,                            ,                        ,
word_336 ,                            ,                        ,
word_338 ,                            ,                        ,
word_340 ,1.4759618                   ,-0.2668909              ,-1.7428527
word_342 ,                            ,-4.2920046              ,
word_344 ,0.4335821000000002          ,-3.5555947              ,-3.9891768
word_346 ,                            ,-6.814206               ,
word_348 ,5.430889                    ,-3.281028               ,-8.711917
word_350 ,                            ,                        ,
word_352 ,-0.7321417000000006         ,-7.2601237              ,-6.527982
word_354 ,                            ,                        ,
word_356 ,                            ,                        ,
word_358 ,1.5781057000000005          ,-3.3578818              ,-4.9359875
word_360 ,5.5510370107214             ,-0.7781689892786        ,-6.329206
word_362 ,                            ,                        ,
word_364 ,                            ,                        ,
word_366 ,                            ,-7.906071               ,
word_368 ,                            ,                        ,
word_370 ,                            ,                        ,
word_372 ,-0.065335244                ,-0.0773380380384        ,-0.0120027940384
word_374 ,                            ,                        ,
word_376 ,                            ,                        ,
word_378 ,                            ,                        ,
word_380 ,                            ,                        ,-0.43014599202
word_382 ,                            ,                        ,
word_384 ,0.214926955                 ,-0.058379665075         ,-0.273306620075
word_386 ,                            ,-0.3929056008714        ,
word_388 ,                            ,                        ,
word_390 ,11.974095392103             ,-0.253764107897         ,-12.2278595
word_392 ,                            ,                        ,
word_394 ,                            ,                        ,
word_396 ,                            ,                        ,
word_398 ,8.7148726002957             ,-0.0554793997043        ,-8.770352
word_400 ,-0.00712283496              ,-0.0073181503           ,-0.00019531534
word_402 ,                            ,-0.44144508             ,
word_404 ,2.0734744000000003          ,-5.576611               ,-7.6500854
word_406 ,0.124916675                 ,-0.081883825            ,-0.2068005
word_408 ,2.3257150429999998          ,-0.030528357            ,-2.3562434
word_410 ,                            ,-9.02436                ,
word_412 ,6.325722300000001           ,-3.0493767              ,-9.375099
word_414 ,0.328042876                 ,-0.008194674            ,-0.33623755
word_416 ,11.1128208                  ,-2.2641892              ,-13.37701
word_418 ,                            ,-3.1259625              ,
word_420 ,                            ,                        ,
word_422 ,                            ,                        ,
word_424 ,                            ,-7.109379               ,
word_426 ,0.1735555999999998          ,-3.695698               ,-3.8692536
word_428 ,                            ,                        ,
word_430 ,-0.6767066000000002         ,-1.7289311              ,-1.0522245
word_432 ,0.7493172999999995          ,-5.386947               ,-6.1362643
word_434 ,2.9033194                   ,-3.4252553              ,-6.3285747
word_436 ,                            ,-8.485982               ,
word_438 ,1.1062804999999996          ,-4.6403685              ,-5.746649
word_440 ,                            ,-12.798874              ,
word_442 ,                            ,                        ,
word_444 ,                            ,-9.881183               ,
word_446 ,                            ,                        ,
word_448 ,                            ,                        ,
word_450 ,-0.9950385000000002         ,-2.0203853              ,-1.0253468
word_452 ,0.9315342999999996          ,-3.1236763              ,-4.0552106
word_454 ,-0.7772926                  ,-6.211788               ,-5.4344954
word_456 ,0.28666371999999996         ,-0.10022878             ,-0.3868925
word_458 ,                            ,                        ,
word_460 ,                            ,-1.0383766704273        ,
word_462 ,                            ,-0.1602286556493        ,
word_464 ,0.00022269635999999995      ,-0.00031723134          ,-0.0005399277
word_466 ,                            ,-6.54131                ,
word_468 ,                            ,-0.1096395996126499     ,
word_470 ,0.5338716399999999          ,-0.40117496             ,-0.9350466
word_472 ,                            ,-13.330616              ,
word_474 ,2.7398058999999995          ,-2.1582587              ,-4.8980646
word_476 ,0.34553364                  ,-0.03394604             ,-0.37947968
word_478 ,3.8712093000000003          ,-1.6100807              ,-5.48129
word_480 ,                            ,-0.00249559231265       ,
word_482 ,                            ,-9.65719594361265       ,
word_484 ,                            ,                        ,
word_486 ,-0.0008466400000000001      ,-0.0031993354           ,-0.0023526954
word_488 ,                            ,                        ,
word_490 ,0.32676516                  ,-0.06201698             ,-0.38878214
word_492 ,                            ,                        ,
word_494 ,4.4028422                   ,-0.9779895              ,-5.3808317
word_496 ,                            ,-5.6815352e-05          ,
word_498 ,7.761092239999999           ,-0.44308776             ,-8.20418
summary  ,"mean: 1.0106, std: 3.1583" ,                        ,
